Interfaces,Methods,Roles,,,,,,,,,,,,,,,,,,,,Comments,,,,,,,
,,B/D,Cust-B/D,MM,DPM,Firm,Class Disp,Firm Disp,Help Desk,System,Root,Exch B/D,ProdMaint,TFL,EOP,HELP_DESK_OMT,BOOTH_OMT,DISPLAY_OMT,CROWD_OMT,REPORTING,OPRA,(NR) = Non-repudiation logging is ON,,,,,,,
,addProduct,,,,,,,,x (NR),x (NR),x,,x (NR),,,x (NR),,,,,,,,,,,,,
,addProductV2,,,,,,,,x (NR),x (NR),x,,x (NR),,,x (NR),,,,,,,,,,,,,
,addProductV4,,,,,,,,x (NR),x (NR),x,,x (NR),,,x (NR),,,,,,,,,,,,,
,addProducts,,,,,,,,x (NR),x (NR),x,,x (NR),,,x (NR),,,,,,,,,,,,,
,addProductsV4,,,,,,,,x (NR),x (NR),x,,x (NR),,,x (NR),,,,,,,,,,,,,
,addProductClass,,,,,,,,x (NR),x (NR),x,,x (NR),,,x (NR),,,,,,,,,,,,,
,addReportingClass,,,,,,,,x (NR),x (NR),x,,x (NR),,,x (NR),,,,,,,,,,,,,
,updateProductType,,,,,,,,x (NR),x (NR),x,,x (NR),,,x (NR),,,,,,,,,,,,,
,priceAdjustmentUpdateBegin,,,,,,,,x (NR),x,x,,x (NR),,,x (NR),,,,,,,,,,,,,
,priceAdjustmentUpdateComplete,,,,,,,,x (NR),x,x,,x (NR),,,x (NR),,,,,,,,,,,,,
,updatePriceAdjustment,,,,,,,,x (NR),x,x,,x (NR),,,x (NR),,,,,,,,,,,,,
,getPriceAdjustment,,,,,,,,x,x,x,,x,,,x,,,,,,,,,,,,,
,refreshReportingClass,,,,,,,,x (NR),x,x,,x (NR),,,x (NR),,,,,,,,,,,,,
,startProductDownload,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
,getAllPriceAdjustments,,,,,,,,x (NR),x,x,,x (NR),,,x (NR),,,,,,,,,,,,,
,removePriceAdjustment,,,,,,,,x (NR),x,x,,x (NR),,,x (NR),,,,,,,,,,,,,
,getSettlementForClasses,,,,,,,,x,x,x,,x,,,x,,,,,,,,,,,,,
,getSettlementForProducts,,,,,,,,x,x,x,,x,,,x,,,,,,,,,,,,,
,getTransactionFeeCodes,,,,,,,,x,x,x,,x,,,x,,,,,,,,,,,,,
,getOpenInterestForClasses,,,,,,,,x,x,x,,x,,,x,,,,,,,,,,,,,
,getOpenInterestForProducts,,,,,,,,x,x,x,,x,,,x,,,,,,,,,,,,,
,updateSettlementByProduct,,,,,,,,x(NR),x,x,,x(NR),,,x(NR),,,,,,,,,,,,,
,updateOpenInterestByProduct,,,,,,,,x(NR),x,x,,x(NR),,,x(NR),,,,,,,,,,,,,
,updateProductDescription,,,,,,,,x (NR),x (NR),x,,x (NR),,,x (NR),,,,,,,,,,,,,
,updateProductClassWithSessionCode,,,,,,,,x (NR),x (NR),x,,x (NR),,,x (NR),,,,,,,,,,,,,
,addProductClassWithSessionCode,,,,,,,,x (NR),x (NR),x,,x (NR),,,x (NR),,,,,,,,,,,,,
,getSessionCodesForProductType,,,,,,,,x,x,x,,x,,,x,,,,,,,,,,,,,
,updateProductClassV2,,,,,,,,x (NR),x (NR),x,,x (NR),,,x (NR),,,,,,,,,,,,,
,addProductClassV2,,,,,,,,x (NR),x (NR),x,,x (NR),,,x (NR),,,,,,,,,,,,,
,getProductClasses,,,,,,,,x,x,x,,x,,,x,,,,,,,,,,,,,
,inactivateExpiringProducts,,,,,,,,x (NR),x (NR),x,,x (NR),,,x (NR),,,,,,,,,,,,,
,getProductClassesExt,,,,,,,,x,x,x,,x,,,x,,,,,,,,,,,,,
